Genotype	X.1060..pyruvic.acid..6.714	X.971..oxalic.acid..7.883	X.6287..L.valine.2..9.151	X.700..ethanolamine..9.879	X.6106..L.leucine.2..9.945	X.938..nicotinic.acid..10.27	X.791..DL.isoleucine.2..10.225	X.444266..maleic.acid..10.323	X.439194..glyceric.acid..10.735	X.444972..fumaric.acid..10.94	X.439742..beta.cyano.L.alanine..11.288	X.6288..L.threonine.2..11.464	X.239..Beta..alanine..1..12.044	X.12647..L.homoserine.2..12.359	X.5960..aspartic.acid.2..13.207	X.5810..trans.4.hydroxy.L.proline.2..13.267	X.119..gamma.aminobutyric.acid..GABA...13.326	X.5460407..threonic.acid..13.652	X.1001..phenethylamine..13.742	X.51..alpha.ketoglutaric.acid..13.859	X.738..L.glutamine.2..14.083	X.236..L.asparagine.2..14.984	X.2724705..1.6.anhydro.glucose..15.326	X.6912..xylitol..15.376	X.827..ribitol..15.66	X.754..glycerol.1.phosphate..16.056	X.439183..3.phosphoglyceric.acid..16.504	X.6262..L.ornithine.2..16.632	X.9750..citrulline.2..16.691	X.835..dehydroascorbic.acid..1..16.863	X.204..allantoin.1..17.293	X.448388..D.allose.1..17.278	X.5962..L.lysine.2..17.643	X.637542..4.hydroxycinnamic.acid..17.854	X.6057..tyrosine.2..17.871	X.128869..galactonic.acid.2..18.504	X.5460673..D.saccharic.acid..18.614	X.3037582..mucic.acid..18.907	X.1549111..caffeic.acid..19.755	X.5280450..linoleic.acid..20.399	X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65	X.439958..D.glucose.6.phosphate.1..21.394	X.60961..adenosine..23.825	X.5460935..turanose.1..24.81	X.6255..maltose.1..24.702	X.6255..maltose..2..24.915	X.642609..trans.caftaric.acid.2..25.529	X.6537496..chlorogenic.acid.1..26.37	X.439451..galactinol.2..26.479	X.2116..alpha.tocophereol..27.379	X.6537496..chlorogenic.acid.2..27.18._alt	X.5321515..stigmasterol..28.442	X.5321342..beta.sitosterol..28.848	X.439242..Raffinose..29.282	X.750..glycine..10.456..s100	X.5951..L.serine.2..11.174..s100	X.92824..D.malic.acid..12.794..s100	X.33032..L.glutamic.acid.3..dehydrated...13.232..s100	X.444212..trans.aconitic.acid..15.842..s100	X.8742..shikimic.acid..16.433..s100	X.311..citric.acid..16.615..s100	X.6508..quinic.acid..17.076..s100	X.5984..fructose.1..17.18..s100	X.892..myo.inositol..19.354..s100	X.5988..Sucrose..23.988..s100	X.6537496..chlorogenic.acid.2..27.18..s100
CML11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.122297297	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	0.017297297	NA	NA	NA	NA	NA	NA	NA	0.010135135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.067310379	0.040843313	0.038323353	0.007045908	0.015843313	0.02246008	0.026591816	0.013542914	0.049670659	0.027739521	0.79500499	0.013817365
CML38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML52	0.009364816	0.000275136	0.015333889	0.002400898	0.015482598	0.000541514	0.007233234	7.06E-05	0.016046615	0.005139841	0.001840095	0.012815931	0.001739497	0.000932103	0.068939314	0.000597273	0.01141725	0.00553054	0.000544784	0.005626317	0.00028345	0.013835274	0.002393804	0.000649429	0.017793594	0.011164617	0.013071446	0.005416584	0.002202251	0.002092673	0.003331893	0.001026272	0.002078428	0.00652206	0.012511086	0.000451835	0.000736725	0.004548388	0.002245594	0.000205798	0.000673595	0.011341981	0.000387263	0.002418967	0.001389203	0.004959428	NA	0.003098548	0.011682686	0.001858719	0.040193441	0.000690833	0.003185401	0.007558974	0.072571267	0.085199977	0.028731603	0.004376235	0.036380993	0.055586941	0.030623332	0.065050742	0.038535606	0.081179408	0.713491173	0.007417434
CML61	0.015138114	0.000202794	0.012904032	0.003122037	0.003597081	0.000287425	0.003140502	3.69E-05	0.00724908	0.002198797	0.006241793	0.013794905	0.004916731	0.001630209	0.05694492	0.00084052	0.013942836	0.005887619	0.000237814	0.009572833	0.000938415	0.046548175	0.001927449	0.009294375	0.017667845	0.01909372	0.004855606	0.011634736	0.004026388	0.002658878	0.005415758	0.001509498	0.002429395	0.000371365	0.02153967	0.000455306	0.000880792	0.002585815	0.008783303	0.00127821	0.00017531	0.024859142	0.000107393	0.000590449	0.00340856	0.001630262	0.000777591	0.00013196	0.007888768	0.001065918	0.0130899	0.00032982	0.002267457	0.011177201	0.196098074	0.090278507	0.007837494	0.013483919	0.010098207	0.020266057	0.015460703	0.014014276	0.106360638	0.05561246	1.442329327	0.010762492
CML69	0.004099053	0.000292666	0.005588344	0.003953415	0.000711071	0.000874664	0.000708514	3.86E-05	0.019589083	0.006363952	3.59E-05	0.008731465	0.00524476	0.00248369	0.07353987	0.000313289	0.002703648	0.010518981	0.000624577	0.005461939	0.000235968	0.000434636	0.001229366	0.00265412	0.019193858	0.016417724	0.007077191	0.002021038	0.000764713	0.001309133	0.004971549	0.000645645	0.000471435	0.00182476	0.012005715	0.000730749	0.001762169	0.009590231	0.007278194	0.000826581	0.000117122	0.016062244	7.26E-05	0.00229386	0.0063515	0.002992424	0.000255923	0.002367902	0.008861205	0.000716352	0.042543968	0.00094337	0.004157642	0.007246843	0.066037863	0.052811625	0.038258098	0.009882089	0.044308674	0.030506931	0.023466073	0.010701276	0.040414944	0.042120719	1.007345721	0.006200933
CML77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML91	0.004600032	0.00025553	0.015995856	0.003843216	0.007365087	0.001026357	0.005190418	5.07E-05	0.019868888	0.003908532	0.002233354	0.017086532	0.002013524	0.002040946	0.080136489	0.000919358	0.018700283	0.010482748	0.00031232	0.004222496	0.000716181	0.011633903	0.001606621	NA	0.019646365	0.019992091	0.002431097	0.004776933	0.001832035	0.000529607	0.005315066	0.000605443	0.00167448	0.004759732	0.021849754	0.000369807	0.000676692	0.00238363	0.00614727	0.000938105	0.000154265	0.014403097	0.000139706	0.002162454	0.004357316	0.003999675	0.001212582	0.004410068	0.014303677	0.000575129	0.067926759	0.001176982	0.00298319	0.012482461	0.146326031	0.09458814	0.022502228	0.011792743	0.001760295	0.033981073	0.012494399	0.033556386	0.072135151	0.091960008	0.551747739	0.006357987
CML92	0.023172574	0.000117502	0.010565381	0.005292956	0.001728495	0.001927721	0.001968783	2.77E-05	0.016867305	0.004443154	0.012821399	0.019831213	0.002231006	0.0014753	0.078615091	0.000439179	0.007712956	0.006943272	0.000661611	0.00909095	0.000592327	0.06596162	0.001154292	0.000473754	0.018248175	0.032744835	0.003587935	0.002579568	0.001345492	0.001378596	0.020615677	0.000754637	0.000939149	0.003292072	0.021097189	0.000300878	0.002940033	0.019016053	0.016350148	0.001288045	0.000169064	0.023421689	0.000226378	0.001372377	0.002615949	0.004914367	4.39E-05	0.000319336	0.022908678	0.002567396	0.016279192	0.000770085	0.006444706	0.03830804	0.114203728	0.083462224	0.019531427	0.011837571	0.003770611	0.021481743	0.014155338	0.025388028	0.028740311	0.046903689	0.95161294	0.007835183
CML103	0.017964858	0.00024677	0.017105651	0.006475396	0.007022207	0.001481875	0.008097929	3.85E-05	0.009751975	0.00473106	0.002302721	0.018093206	0.004433142	0.002175847	0.077312509	0.000772342	0.009268059	0.014663485	0.00012293	0.016423122	0.000840179	0.01509855	0.003231543	0.00611675	0.020833333	0.018195243	0.005121392	0.003310953	0.001335668	0.001410657	0.017794378	0.001490718	0.000775896	0.004729196	0.018902305	0.001122665	0.003880781	0.011137535	0.009873604	0.000544861	0.000360423	0.016753593	0.000442868	NA	0.00535338	0.008399792	0.00013472	0.002900335	0.032886079	0.001162847	0.070538501	0.000921323	0.00163363	0.023501463	0.121349026	0.097903885	0.024623233	0.011564195	0.020344314	0.044072864	0.042872544	0.071908064	0.199875522	0.085072686	1.033770116	0.006312795
CML108	0.018836213	0.000234751	0.022579998	0.004692281	0.008513346	NA	0.007800357	1.69E-06	0.020433695	0.004248927	0.001051342	0.015401488	0.006691595	0.001974447	0.07984006	0.002903375	0.029870612	0.007872279	0.000538454	0.011495923	0.000865102	0.005916527	0.00274142	0.003299849	0.019493177	0.024712323	0.006965306	0.006842427	0.002961495	0.004103511	0.009062806	0.000753812	0.000850484	0.003009249	0.0279901	0.001382183	0.001690195	0.004697522	0.008152979	0.001082032	0.000241157	0.023902895	0.000106281	0.000902315	0.003529184	0.002722435	0.003252677	0.000361939	0.012533637	0.002082825	0.014135487	0.000802905	0.003932413	0.00768965	0.095668057	0.074786241	0.028382206	0.020342032	0.006703772	0.036526854	0.024386061	0.064678345	0.046273443	0.050291353	1.446513037	0.00736109
CML154Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML157Q	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML158Q	0.005454684	0.000291592	0.014142522	0.00269186	0.00539654	4.28E-05	0.00501449	1.39E-05	0.012859525	0.006415952	0.000504772	0.020105364	0.002696166	0.002628637	0.092355606	0.00035825	0.01471284	0.008408774	7.56E-05	0.007015439	0.000379776	0.003389399	0.000907864	NA	0.018484288	0.004354392	0.001925342	0.002748747	0.000941967	0.001421392	0.001574396	0.000575252	0.000641813	0.00060205	0.017846974	0.000289803	0.001287592	0.005503589	0.003177187	0.000327921	0.00083366	0.015750585	7.53E-05	0.00385407	0.005276188	0.004797972	0.007103768	0.001604097	0.014746894	NA	0.049311381	NA	2.84E-05	0.013226289	0.091825801	0.08382997	0.032753771	0.017351276	0.069327411	0.111443102	0.020387749	0.182324359	0.069838886	0.075238499	1.13665101	0.015926917
CML218	0.011315425	0.000216121	0.011659446	0.004824875	0.002132227	0.001307604	0.002967678	9.01E-06	0.013687299	0.011140988	0.000345094	0.009417991	0.003112988	0.003369393	0.069103017	0.0017096	0.00409333	0.009592756	0.002454868	0.008361797	0.000851322	0.00193473	0.003416538	0.002165228	0.018281536	0.006232325	0.004154105	0.003026446	0.001122944	0.002700164	0.002271982	0.000980715	0.000530081	0.002832497	0.019021623	0.000672544	0.001329823	0.002356797	0.01313878	0.000764314	0.000157306	0.014896645	0.00011777	0.003398987	0.003733112	0.005845173	0.002443992	0.000387151	0.004002493	1.97E-05	0.042321936	2.25E-05	0.000116276	0.004637321	0.107597543	0.10345263	0.047004957	0.015992226	0.048317056	0.033949855	0.046483412	0.021586486	0.057007648	0.025934527	0.674692975	0.004172362
CML220	0.018687858	0.00010624	0.010176802	0.003247139	0.002313685	0.002232757	0.001390132	9.07E-05	0.017664766	0.014987393	0.00347116	0.011968592	0.003907735	0.001427133	0.088139639	0.00129625	0.015343413	0.013232456	0.000148007	0.005806584	0.000728345	0.023545576	0.001097915	0.005182171	0.020120724	0.015804408	0.004584039	0.004823694	0.002441069	0.001664182	0.013711914	0.001403756	0.001073495	0.00825815	0.016404698	0.000379398	0.000715093	0.00519788	NA	0.001250314	0.000239729	0.013558919	0.000815377	0.000894145	0.003515234	0.005464858	1.68E-05	0.003536601	0.013776314	0.000388853	0.007353507	0.000639526	0.001527492	0.015491941	0.092379345	0.069404027	0.022739744	0.011356015	0.007475985	0.043317758	0.02014151	0.034837122	0.079609891	0.0770948	1.071823503	0.003602885
CML228	0.004755726	0.00050992	0.013424778	0.005241593	0.003809762	0.00109406	0.003896902	8.16E-05	0.012340202	0.009953336	0.000852295	0.017065414	0.003505116	0.002381986	0.088987845	0.001002659	0.005485076	0.010353232	4.37E-05	0.005477036	0.000781098	0.002573378	0.000927958	NA	0.01754386	0.019264256	0.009580036	0.002006281	0.00126133	0.00176321	0.003202875	0.000315161	0.00044216	0.00237745	0.014111933	0.000489991	0.001308337	0.013339081	0.014011873	0.001120656	0.000173318	0.017910631	7.27E-05	0.002243373	0.003995106	0.000594174	0.00033832	8.16E-05	0.024036131	0.001108217	0.000388419	0.000984379	0.005880642	0.018720524	0.06103152	0.067720952	0.026655984	0.008972231	0.019025454	0.053744365	0.033644277	0.046024812	0.071835079	0.074219619	0.529507894	0.001672358
CML238	0.004589542	0.000157993	0.007886632	0.001420578	0.00151913	0.001426853	0.000967174	0.000130656	0.015961271	0.019355842	0.001314682	0.006240252	0.003970848	0.00035709	0.067122911	0.000831022	0.014103925	0.009037046	8.75E-05	0.004962296	0.000446886	0.027622573	0.001427048	0.001912751	0.01953125	0.011233241	0.00119215	0.004760377	0.001710006	0.000946452	0.008018991	0.000589848	0.000957202	0.00175466	0.017836907	0.0004894	0.000745847	0.001919902	0.008689295	6.86E-05	0.000422175	0.009585888	0.000125256	0.002204903	0.003309786	0.004003974	0.000902479	0.000152156	0.01072526	0.000540719	0.01674112	0.000529677	0.002997642	0.004211097	0.143324146	0.120700017	0.061810967	0.010516827	0.039005512	0.019956068	0.036156126	0.020525945	0.067038296	0.032483007	0.56758227	0.000994695
CML247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML254	0.008727048	8.11E-05	0.024500118	0.003491817	0.005748655	0.001278138	0.005116671	7.58E-05	0.009610973	0.003073458	0.005466857	0.02247187	0.012052374	0.002420509	0.098928063	0.001027787	0.004272218	0.007656319	0.000324378	0.007765987	0.002122446	0.024259528	0.002393038	0.001725413	0.023255814	0.013746919	0.008597138	0.003885307	0.001454315	0.003773542	0.009613937	0.000990412	0.00087431	0.001345948	0.022326128	0.00026958	0.000979351	0.004028808	0.013460639	0.000928529	0.000542052	0.027081551	6.25E-05	NA	0.004168767	0.00273614	0.000658588	0.000220999	0.025947421	0.001030607	0.005007798	0.000263797	0.001492558	0.048846398	0.109253823	0.114941414	0.028708549	0.025262298	0.021540347	0.053684936	0.04208511	0.032078217	0.048809129	0.094697879	2.255390192	0.003293085
CML258	0.007863357	0.000160899	0.016189501	0.004712543	0.003746588	0.000470293	0.004394652	4.06E-05	0.020153061	0.003909162	0.000500624	0.010388374	0.002782494	0.001619167	0.076902749	0.000880729	0.003296764	0.005864643	0.00323207	0.008333898	0.00066233	0.003117133	0.001428122	NA	0.019762846	0.010270398	0.004025402	0.002744905	0.001080582	0.001648568	0.002688956	0.000619841	0.000713875	0.003404754	0.014239168	0.000639194	0.000965893	0.002534322	0.011568758	0.000285823	8.48E-05	0.018715945	0.000355852	0.001923288	0.004176315	0.003870085	0.000267897	0.000486358	0.013127635	0.000550122	0.008227148	0.000391456	0.001959698	0.017552866	0.102186969	0.066008417	0.03461058	0.012652573	0.016537304	0.062373282	0.031186641	0.000108798	0.073739479	0.052107866	0.861443763	0.006067091
CML261	0.010548822	0.000326145	0.025017429	0.004104349	0.007121752	0.000999282	0.007789388	2.70E-05	0.018971827	0.001872058	0.008273276	0.026351887	0.009858505	0.003236938	0.083446364	0.000991677	0.002339716	0.007332731	0.000210911	0.009843974	0.000558243	0.063670344	0.002384465	0.0004663	0.020703934	0.022860987	0.004343373	0.006191732	0.002892458	0.00141445	0.044825771	0.000942786	0.001534098	0.002991938	0.017982595	0.000568768	0.002003453	0.009001823	0.003123401	0.000672729	0.000151699	0.013510611	0.000108511	0.001901189	0.002469889	0.005729235	0.000955552	8.73E-05	0.001835933	0.002186184	0.00201717	0.00089532	0.005910065	0.002060629	0.313593414	0.199205197	0.012511847	0.008468682	0.023095665	0.034492998	0.054440363	0.000943676	0.058141852	0.030409157	0.468096011	0.005515626
CML264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML277	0.007035855	0.000238484	0.016003522	0.004403259	0.00556952	0.001012224	0.005035788	0.000106924	0.009252755	0.013635569	0.002066546	0.016517317	0.003217314	0.002369413	0.089478054	0.000891205	0.007524443	0.010074942	0.001111974	0.004013913	0.001483224	0.009421459	0.001745392	0.001711613	0.020703934	0.027079704	0.004300906	0.004128012	0.001621959	0.001431286	0.004988358	0.000761803	0.000789741	0.001673009	0.017613544	0.000975334	0.001477891	0.006106046	0.011407367	0.001544687	0.000258612	0.019667391	0.000174419	0.00048535	0.005867435	0.00398388	0.000799582	0.001294456	0.011110469	0.002696789	0.018633705	0.000977938	0.00485083	0.012489753	0.105738688	0.071533992	0.045838993	0.023676452	0.025397747	0.062837649	0.032103195	0.020385943	0.091401473	0.062796172	0.97919583	0.012864782
CML281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML314	0.010213885	0.000216901	0.017651525	0.003014443	0.005149536	0.001074491	0.007182255	3.98E-05	0.026408276	0.005843814	0.003320233	0.020451497	0.004350337	0.002495745	0.070634976	0.000789766	0.00679666	0.006857251	9.18E-05	0.011414535	0.000696709	0.0178664	0.000338835	NA	0.019880716	0.007393773	0.000823157	0.001565411	0.000838956	0.000426625	0.006522236	0.000617889	0.000287793	0.007131444	0.026046119	0.000486869	0.000798504	0.002538801	0.002065358	0.001220557	0.000181483	0.00878042	0.00027645	0.00242792	0.002746905	0.002338394	NA	0.000383569	0.02708635	2.30E-05	0.001972765	NA	NA	0.021578593	0.141866448	0.107098585	0.026055432	0.011565899	0.042199743	0.046871711	0.013910654	0.0245176	0.047503216	0.064828675	0.658613028	0.01361829
CML321	0.010899116	0.000204457	0.009630222	0.013179498	0.003571824	0.002694414	0.003312079	9.34E-05	0.0242966	0.013793173	0.001262302	0.008530663	0.003991103	0.001049779	0.060690873	0.000669094	0.030156872	0.008583566	0.000571613	0.009530617	0.000425393	0.02272707	0.000945491	0.002328342	0.018248175	0.004671124	0.000371492	0.007622074	0.004946914	0.000925674	0.00321139	0.001459908	0.001682014	0.001214819	0.017234344	0.000574085	NA	0.006369399	0.004996738	0.004664012	0.0011875	0.005957406	0.002961748	NA	0.006769164	NA	0.001011619	0.000505268	0.033506286	0.000529334	0.009626927	0.000226009	0.001120201	0.082058205	0.09901973	0.100065223	0.064801404	0.01140451	0.034314243	0.05117642	NA	0.05468218	0.099336256	0.099163605	1.147270687	0.002105374
CML322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML323	0.01270986	0.000187866	0.03539263	0.004385528	0.014240886	0.000536382	0.015813041	5.11E-05	0.020805536	0.00475393	0.005126608	0.023697368	0.004363877	0.002659714	0.085569043	0.00031682	0.012069637	0.011759129	0.000392496	0.007435295	0.001208844	0.028294041	0.001168596	NA	0.020703934	0.018715053	0.004042171	0.004403582	0.002157132	0.003163314	0.006088402	0.001318455	0.000762187	0.001689164	0.018212403	0.000847433	0.00114172	0.012224382	0.012880351	0.00087173	0.000697235	0.017366803	0.000165944	NA	0.002833191	0.002170095	NA	0.00352201	0.023222816	0.001315468	0.011257429	0.000754043	0.002575826	0.054222791	0.13226086	0.083979643	0.044931049	0.01945614	0.032290587	0.113570173	0.049188226	0.043253343	0.127699598	0.056905672	4.419312067	0.007916673
CML328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML332	0.016710211	0.00040686	0.01747308	0.00229521	0.002557132	0.00069495	0.002473036	4.66E-05	0.013624417	0.002902912	0.004468974	0.015223546	0.006632925	0.003159303	0.074950739	0.000488696	0.006878314	0.006827345	0.002178403	0.010052842	0.000769114	0.037011564	0.001561899	0.001627974	0.021186441	0.011400814	0.008312701	0.003813455	0.001392637	0.002282661	0.009696654	0.000865164	0.000925887	0.006012019	0.016899575	0.000832751	0.001886387	0.010879289	0.002231692	NA	5.59E-05	0.019752708	0.00028137	0.001751085	0.003299066	0.003272363	1.24E-05	0.000387055	0.021428201	0.000626853	0.022584014	0.000190494	0.00103401	0.018986092	0.43074393	0.075456237	0.020938118	0.009904689	0.015091247	0.027846004	0.020289093	0.000129805	0.077696784	0.069637584	1.099172182	0.003307207
CML333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CML341	0.015351933	0.000301	0.004016432	0.003682609	0.000643476	0.000521703	0.000623113	0.00013879	0.009721649	0.009303202	0.000111736	0.01024364	0.001745374	0.001324101	0.070507998	0.000340053	0.005063299	0.00551676	0.000304634	0.008168654	0.000466268	0.000589713	0.00175645	0.001011564	0.020876827	0.007035317	0.004881187	0.002362027	0.00084047	0.002140862	0.003135409	0.000695335	0.000508435	0.000715755	0.012437284	0.00067128	0.00049886	0.00286129	0.003365399	0.000754981	7.23E-05	0.012369504	4.16E-05	0.002161744	0.00312641	0.0032059	0.00059081	0.003183864	0.015929129	0.000228375	0.018579696	0.000243604	0.001650367	0.020615918	0.069703786	0.087878187	0.030271869	0.010034224	0.02150191	0.013451031	0.034426555	0.00545185	0.04588484	0.054659499	0.669153525	0.012722551
CMV3	0.001063733	0.000251094	0.079610143	0.019153645	0.027490949	0.002634782	0.033135351	1.70E-05	0.011439708	0.002409804	0.046167381	0.054759104	0.016365679	0.006749161	0.052257466	0.000724413	0.012026228	0.008539206	0.000498485	0.001340658	0.003025289	0.148589512	NA	0.004104882	NA	0.070879292	0.003563566	0.028475099	0.010132383	0.001143315	0.100391628	0.002866693	0.011214919	0.002519302	0.049316698	0.000281294	0.002297837	0.005549434	0.010874745	0.000286802	0.002505626	0.034118741	0.001619388	0.007202346	0.004979723	NA	0.004468608	0.003428617	0.062923663	0.002261275	0.009449471	0.000609882	0.00121796	0.057497591	0.350945607	0.337123085	0.007973124	0.012119881	0.002407499	0.005812783	0.036451182	0.000851321	0.161458047	0.115532488	1.369143736	NA
CO106	0.012150348	0.000157193	0.024678793	0.010951715	0.007024201	0.000896966	0.005640566	5.82E-05	0.023995907	0.010091865	0.000711676	0.01534468	0.006240837	0.0039374	0.075798339	0.001253729	0.013656719	0.010375841	0.000125338	0.00870586	0.001858914	0.003897914	0.001473186	0.002633374	0.018621974	0.018061536	0.003994809	0.01304876	0.006021495	0.002140289	0.007514107	0.000903268	0.001140936	0.002859769	0.015106492	0.001044967	0.00027253	0.003914044	0.003920577	0.001199211	0.000139734	0.019494138	0.00048875	0.001048262	0.005384224	0.002458837	0.000828284	0.000415732	0.031378143	0.00056778	0.029409443	0.000812675	0.002623084	0.070395673	0.154419439	0.121861989	0.051388293	0.020116692	0.028353962	0.036042951	0.01741445	0.028086349	0.130510469	0.059710416	1.052771397	0.01330887
